group,A,B
Memorial-NBTT,33.252532,28.73628
Memorial-NBRT,37.400803,35.117455
Memorial-SBLT,56.214635,57.75557
Memorial-SBTT,39.663096,41.176637
Memorial-SBRT,42.107791,33.565488
Hastings-NBLT,37.667413,34.686995
Hastings-NBRT,34.975673,30.505304
Meridian-NBLT,35.459613,33.3775
Meridian-NBRT,33.087746,30.30864
Dedication-SBLT,39.609391,34.128185
Dedication-SBRT,37.155829,32.078025
Gavilan-NBLT,63.980576,46.392225
Gavilan-NBTT,42.691763,38.319303
Gavilan-NBRT,37.120139,34.134451
Gavilan-SBLT,75.933155,63.323682
Gavilan-SBTT,38.417099,35.484995
Gavilan-SBRT,38.033523,35.959802
Memorial-NBLT,50.149183,47.571037
